12345679,4333
13456789,4192
12356789,4168
12346789,4097
12345689,3194
23456789,3098
1235789,731
1234789,727
1345789,708
1234679,685
1346789,669
1234579,665
1345679,663
1245679,560
2356789,554
1234567,534
1246789,528
1234678,526
1234589,526
1235678,518
1235689,512
1456789,512
1345678,505
2345789,502
1256789,494
2345678,371
1234568,353
2345689,347
1245689,343
2456789,317
123479,148
136789,141
135679,137
134789,136
134579,133
134678,131
123589,127
123679,124
123469,116
234679,116
123478,114
124789,114
345679,113
134578,111
135689,109
236789,109
125789,108
124679,107
123569,105
235679,104
146789,103
134689,102
145679,102
123467,101
124579,99
123689,99
134569,99
134567,98
235789,98
123457,97
123578,94
123568,88
356789,88
145789,87
346789,87
245789,82
234578,81
234689,79
234569,78
345689,78
234589,77
235678,72
145678,70
123458,69
125689,69
124589,69
124567,65
124678,65
256789,65
125678,61
13789,39
13459,37
12379,36
245689,35
13579,34
23579,33
12389,32
13679,32
12367,31
124568,31
13489,29
14579,28
234568,28
12359,27
13589,27
14789,27
23479,27
35789,27
13678,26
245678,26
12347,25
13469,25
16789,25
26789,25
12349,24
13478,24
13567,24
15679,24
23789,24
12679,23
13457,23
13456,23
12457,22
12689,22
24679,22
23467,22
34789,22
12479,21
12358,20
12589,20
12356,20
13568,20
25679,20
13468,19
14678,19
23459,19
23689,19
34589,18
34679,18
35689,18
12569,17
12578,17
23567,17
23569,17
12469,16
14567,16
12368,16
14578,16
23578,16
34579,16
35678,16
46789,16
56789,16
12467,15
25789,15
12478,14
34678,14
34567,14
45679,14
14689,13
14569,13
23468,12
15689,12
1237,11
1279,11
12346,11
24589,11
23489,11
1579,10
1789,10
23678,10
34568,10
1349,9
3679,9
3479,9
1457,9
24569,9
24578,9
25678,9
1367,8
1478,8
2357,8
4579,8
24689,8
12568,8
1247,7
1345,7
1459,7
1679,7
1379,7
2347,7
2579,7
3578,7
5789,7
1249,6
1238,6
1235,6
1358,6
1267,6
1378,6
1678,6
2359,6
3457,6
12458,6
23456,6
23458,6
45689,6
1289,5
1567,5
1369,5
2389,5
2789,5
2378,5
3467,5
4679,5
1468,5
3689,5
149,4
179,4
379,4
1234,4
1348,4
1357,4
2467,4
2368,4
2678,4
2689,4
2369,4
2348,4
1258,4
3469,4
3569,4
1456,4
4567,4
3458,4
1589,4
137,3
157,3
136,3
167,3
359,3
389,3
1259,3
1489,3
2459,3
2345,3
2479,3
2578,3
1246,3
1469,3
4789,3
13,2
17,2
37,2
79,2
127,2
139,2
239,2
124,2
125,2
128,2
238,2
347,2
349,2
367,2
457,2
146,2
346,2
467,2
479,2
356,2
569,2
578,2
169,2
368,2
679,2
2567,2
2569,2
1346,2
3478,2
2489,2
1256,2
3568,2
5689,2
3589,2
1568,2
5678,2
4678,2
2,1
3,1
5,1
7,1
19,1
23,1
29,1
14,1
34,1
47,1
35,1
59,1
16,1
67,1
38,1
89,1
257,1
236,1
269,1
134,1
478,1
235,1
145,1
278,1
289,1
358,1
589,1
1268,1
2356,1
4589,1
